NODE,MD_VERSION,SAMPLE_NUM,NTHREADS,TIME(sec)
compute-641-6,OMP,1,1,18.926839
compute-641-6,OMP,2,1,18.916812
compute-641-6,OMP,3,1,18.922461
compute-641-6,OMP,4,1,18.925055
compute-641-6,OMP,5,1,18.923338
compute-641-6,OMP,1,2,17.680727
compute-641-6,OMP,2,2,17.704252
compute-641-6,OMP,3,2,17.783734
compute-641-6,OMP,4,2,17.101848
compute-641-6,OMP,5,2,18.050672
compute-641-6,OMP,1,4,15.016891
compute-641-6,OMP,2,4,14.591165
compute-641-6,OMP,3,4,14.930248
compute-641-6,OMP,4,4,14.974992
compute-641-6,OMP,5,4,15.215569
compute-641-6,OMP,1,8,13.558037
compute-641-6,OMP,2,8,13.549961
compute-641-6,OMP,3,8,13.267679
compute-641-6,OMP,4,8,13.514370
compute-641-6,OMP,5,8,14.283355
compute-641-6,OMP,1,16,17.617669
compute-641-6,OMP,2,16,16.909750
compute-641-6,OMP,3,16,16.501397
compute-641-6,OMP,4,16,16.417591
compute-641-6,OMP,5,16,17.631950
compute-641-6,OMP,1,32,19.713639
compute-641-6,OMP,2,32,19.755977
compute-641-6,OMP,3,32,19.463260
compute-641-6,OMP,4,32,19.368754
compute-641-6,OMP,5,32,19.318456
compute-641-6,OMP,1,34,16.776858
compute-641-6,OMP,2,34,17.356705
compute-641-6,OMP,3,34,16.887571
compute-641-6,OMP,4,34,17.329011
compute-641-6,OMP,5,34,16.565854
compute-641-6,OMP,1,36,17.817097
compute-641-6,OMP,2,36,18.315754
compute-641-6,OMP,3,36,17.711085
compute-641-6,OMP,4,36,16.955735
compute-641-6,OMP,5,36,17.333805
compute-641-6,OMP,1,38,17.350392
compute-641-6,OMP,2,38,17.998250
compute-641-6,OMP,3,38,17.100364
compute-641-6,OMP,4,38,17.826324
compute-641-6,OMP,5,38,17.063050
compute-641-6,OMP,1,40,18.095310
compute-641-6,OMP,2,40,16.910616
compute-641-6,OMP,3,40,17.240706
compute-641-6,OMP,4,40,17.373293
compute-641-6,OMP,5,40,17.354341
compute-641-6,OMP,1,64,18.401274
compute-641-6,OMP,2,64,17.504550
compute-641-6,OMP,3,64,19.450321
compute-641-6,OMP,4,64,18.158313
compute-641-6,OMP,5,64,18.935869
